"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"20600","GERD - Total (in '000 local currency)","AUS","Australia","1996","1996",8792431,,
"20600","GERD - Total (in '000 local currency)","AUS","Australia","1998","1998",8918200,,
"20600","GERD - Total (in '000 local currency)","AUS","Australia","2000","2000",10417100,,
"20600","GERD - Total (in '000 local currency)","AUS","Australia","2002","2002",13211600,,
"20600","GERD - Total (in '000 local currency)","AUS","Australia","2004","2004",15968500,,
"20600","GERD - Total (in '000 local currency)","AUS","Australia","2006","2006",21777200,,
"20600","GERD - Total (in '000 local currency)","AUS","Australia","2008","2008",28299100,,
"20600","GERD - Total (in '000 local currency)","AUS","Australia","2010","2010",30915000,,
"20600","GERD - Total (in '000 local currency)","AUS","Australia","2011","2011",31699000,,
"20600","GERD - Total (in '000 local currency)","AUS","Australia","2013","2013",33471500,,
"20600","GERD - Total (in '000 local currency)","AUS","Australia","2015","2015",31179000,,
"20600","GERD - Total (in '000 local currency)","AUS","Australia","2017","2017",33062000,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","1996","1996",2885550,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","1997","1997",3123210,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","1998","1998",3399835,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","1999","1999",3761800,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2000","2000",4028670,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2001","2001",4393090,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2002","2002",4684313,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2003","2003",5041980,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2004","2004",5249546,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2005","2005",6029810,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2006","2006",6318587,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2007","2007",6867815,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2008","2008",7548060,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2009","2009",7479745,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2010","2010",8066440,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2011","2011",8276335,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2012","2012",9287840,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2013","2013",9571282,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2014","2014",10275180,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2015","2015",10499146,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2016","2016",11135560,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2017","2017",11289781,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2018","2018",12246010,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2019","2019",12799700,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","1996","1996",3734994,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","1997","1997",4055597,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","1998","1998",4276209,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","1999","1999",4617525,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2000","2000",4963947,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2001","2001",5373378,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2002","2002",5200737,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2003","2003",5177444,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2004","2004",5403617,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2005","2005",5551553,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2006","2006",5926513,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2007","2007",6356931,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2008","2008",6812699,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2009","2009",6924600,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2010","2010",7487500,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2011","2011",8171000,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2012","2012",8809188,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2013","2013",9156953,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2014","2014",9551244,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2015","2015",10118200,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2016","2016",10852674,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2017","2017",11867981,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2018","2018",12709638,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","1996","1996",13816000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","1997","1997",14636000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","1998","1998",16088000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","1999","1999",17637000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2000","2000",20556000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2001","2001",23133000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2002","2002",23536000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2003","2003",24691000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2004","2004",26679000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2005","2005",28023000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2006","2006",29079000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2007","2007",30032000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2008","2008",30751000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2009","2009",30129000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2010","2010",30410000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2011","2011",31705000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2012","2012",32384000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2013","2013",32441000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2014","2014",34196000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2015","2015",33703000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2016","2016",35016000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2017","2017",35732000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2018","2018",34756000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2019","2019",35541000,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","1996","1996",16264300,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","1997","1997",19477400,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","1998","1998",22865000,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","1999","1999",23646700,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2000","2000",26487200,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2001","2001",28337000,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2002","2002",29552200,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2003","2003",32246596,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2004","2004",35083039,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2005","2005",38145745,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2006","2006",43268253,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2007","2007",50008888,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2008","2008",49871977,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2009","2009",50874619,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2010","2010",52973568,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2011","2011",62753403,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2012","2012",72360307,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2013","2013",77853386,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2014","2014",85104467,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2015","2015",88663390,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2016","2016",80109157,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2017","2017",90386025,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2018","2018",102753730,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","1996","1996",19657000,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","1997","1997",21652000,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","1998","1998",23793140,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","1999","1999",26415109,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","2001","2001",31883380,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","2002","2002",34431000,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","2003","2003",36074597,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","2004","2004",36432619,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","2005","2005",37958515,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","2006","2006",40424757,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","2007","2007",43739130,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","2008","2008",49963000,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","2009","2009",52613900,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","2010","2010",52825900,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","2011","2011",54383400,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","2012","2012",56494700,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","2013","2013",57320700,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","2014","2014",57733000,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","2015","2015",62210000,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","2016","2016",65191000,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","2017","2017",66344000,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","2018","2018",68118000,,
"20600","GERD - Total (in '000 local currency)","FIN","Finland","1996","1996",2503645,,
"20600","GERD - Total (in '000 local currency)","FIN","Finland","1997","1997",2904891,,
"20600","GERD - Total (in '000 local currency)","FIN","Finland","1998","1998",3354508,,
"20600","GERD - Total (in '000 local currency)","FIN","Finland","1999","1999",3878800,,
"20600","GERD - Total (in '000 local currency)","FIN","Finland","2000","2000",4422606,,
"20600","GERD - Total (in '000 local currency)","FIN","Finland","2001","2001",4619018,,
"20600","GERD - Total (in '000 local currency)","FIN","Finland","2002","2002",4830365,,
"20600","GERD - Total (in '000 local currency)","FIN","Finland","2003","2003",5005018,,
"20600","GERD - Total (in '000 local currency)","FIN","Finland","2004","2004",5253417,,
"20600","GERD - Total (in '000 local currency)","FIN","Finland","2005","2005",5473700,,
"20600","GERD - Total (in '000 local currency)","FIN","Finland","2006","2006",5761196,,
"20600","GERD - Total (in '000 local currency)","FIN","Finland","2007","2007",6242670,,
"20600","GERD - Total (in '000 local currency)","FIN","Finland","2008","2008",6871092,,
"20600","GERD - Total (in '000 local currency)","FIN","Finland","2009","2009",6786472,,
"20600","GERD - Total (in '000 local currency)","FIN","Finland","2010","2010",6971301,,
"20600","GERD - Total (in '000 local currency)","FIN","Finland","2011","2011",7163692,,
"20600","GERD - Total (in '000 local currency)","FIN","Finland","2012","2012",6831888,,
"20600","GERD - Total (in '000 local currency)","FIN","Finland","2013","2013",6684100,,
"20600","GERD - Total (in '000 local currency)","FIN","Finland","2014","2014",6512100,,
"20600","GERD - Total (in '000 local currency)","FIN","Finland","2015","2015",6070900,,
"20600","GERD - Total (in '000 local currency)","FIN","Finland","2016","2016",5926100,,
"20600","GERD - Total (in '000 local currency)","FIN","Finland","2017","2017",6173200,,
"20600","GERD - Total (in '000 local currency)","FIN","Finland","2018","2018",6437900,,
"20600","GERD - Total (in '000 local currency)","FRA","France","1996","1996",27835361,,
"20600","GERD - Total (in '000 local currency)","FRA","France","1997","1997",27755783,,
"20600","GERD - Total (in '000 local currency)","FRA","France","1998","1998",28318945,,
"20600","GERD - Total (in '000 local currency)","FRA","France","1999","1999",29528399,,
"20600","GERD - Total (in '000 local currency)","FRA","France","2000","2000",30953600,,
"20600","GERD - Total (in '000 local currency)","FRA","France","2001","2001",32887370,,
"20600","GERD - Total (in '000 local currency)","FRA","France","2002","2002",34527255,,
"20600","GERD - Total (in '000 local currency)","FRA","France","2003","2003",34569095,,
"20600","GERD - Total (in '000 local currency)","FRA","France","2004","2004",35692601,,
"20600","GERD - Total (in '000 local currency)","FRA","France","2005","2005",36227644,,
"20600","GERD - Total (in '000 local currency)","FRA","France","2006","2006",37904431,,
"20600","GERD - Total (in '000 local currency)","FRA","France","2007","2007",39303086,,
"20600","GERD - Total (in '000 local currency)","FRA","France","2008","2008",41066323,,
"20600","GERD - Total (in '000 local currency)","FRA","France","2009","2009",42834917,,
"20600","GERD - Total (in '000 local currency)","FRA","France","2010","2010",43468832,,
"20600","GERD - Total (in '000 local currency)","FRA","France","2011","2011",45111514,,
"20600","GERD - Total (in '000 local currency)","FRA","France","2012","2012",46519040,,
"20600","GERD - Total (in '000 local currency)","FRA","France","2013","2013",47362050,,
"20600","GERD - Total (in '000 local currency)","FRA","France","2014","2014",48926860,,
"20600","GERD - Total (in '000 local currency)","FRA","France","2015","2015",49839130,,
"20600","GERD - Total (in '000 local currency)","FRA","France","2016","2016",49650923,,
"20600","GERD - Total (in '000 local currency)","FRA","France","2017","2017",50619332,,
"20600","GERD - Total (in '000 local currency)","FRA","France","2018","2018",51768559,,
"20600","GERD - Total (in '000 local currency)","DEU","Germany","1996","1996",41206136,,
"20600","GERD - Total (in '000 local currency)","DEU","Germany","1997","1997",42916263,,
"20600","GERD - Total (in '000 local currency)","DEU","Germany","1998","1998",44642152,,
"20600","GERD - Total (in '000 local currency)","DEU","Germany","1999","1999",48352314,,
"20600","GERD - Total (in '000 local currency)","DEU","Germany","2000","2000",50825217,,
"20600","GERD - Total (in '000 local currency)","DEU","Germany","2001","2001",52235953,,
"20600","GERD - Total (in '000 local currency)","DEU","Germany","2002","2002",53551061,,
"20600","GERD - Total (in '000 local currency)","DEU","Germany","2003","2003",54727818,,
"20600","GERD - Total (in '000 local currency)","DEU","Germany","2004","2004",55096623,,
"20600","GERD - Total (in '000 local currency)","DEU","Germany","2005","2005",55878889,,
"20600","GERD - Total (in '000 local currency)","DEU","Germany","2006","2006",58966702,,
"20600","GERD - Total (in '000 local currency)","DEU","Germany","2007","2007",61500942,,
"20600","GERD - Total (in '000 local currency)","DEU","Germany","2008","2008",66594101,,
"20600","GERD - Total (in '000 local currency)","DEU","Germany","2009","2009",67078121,,
"20600","GERD - Total (in '000 local currency)","DEU","Germany","2010","2010",70014208,,
"20600","GERD - Total (in '000 local currency)","DEU","Germany","2011","2011",75569072,,
"20600","GERD - Total (in '000 local currency)","DEU","Germany","2012","2012",79110378,,
"20600","GERD - Total (in '000 local currency)","DEU","Germany","2013","2013",79729508,,
"20600","GERD - Total (in '000 local currency)","DEU","Germany","2014","2014",84246766,,
"20600","GERD - Total (in '000 local currency)","DEU","Germany","2015","2015",88781819,,
"20600","GERD - Total (in '000 local currency)","DEU","Germany","2016","2016",92173556,,
"20600","GERD - Total (in '000 local currency)","DEU","Germany","2017","2017",99553616,,
"20600","GERD - Total (in '000 local currency)","DEU","Germany","2018","2018",104768000,,
"20600","GERD - Total (in '000 local currency)","GRC","Greece","1997","1997",492228,,
"20600","GERD - Total (in '000 local currency)","GRC","Greece","1999","1999",760229,,
"20600","GERD - Total (in '000 local currency)","GRC","Greece","2001","2001",851500,,
"20600","GERD - Total (in '000 local currency)","GRC","Greece","2003","2003",977780,,
"20600","GERD - Total (in '000 local currency)","GRC","Greece","2004","2004",1021470,,
"20600","GERD - Total (in '000 local currency)","GRC","Greece","2005","2005",1153526,,
"20600","GERD - Total (in '000 local currency)","GRC","Greece","2006","2006",1222600,,
"20600","GERD - Total (in '000 local currency)","GRC","Greece","2007","2007",1341600,,
"20600","GERD - Total (in '000 local currency)","GRC","Greece","2008","2008",1601570,,
"20600","GERD - Total (in '000 local currency)","GRC","Greece","2009","2009",1485940,,
"20600","GERD - Total (in '000 local currency)","GRC","Greece","2010","2010",1352520,,
"20600","GERD - Total (in '000 local currency)","GRC","Greece","2011","2011",1391156,,
"20600","GERD - Total (in '000 local currency)","GRC","Greece","2012","2012",1337600,,
"20600","GERD - Total (in '000 local currency)","GRC","Greece","2013","2013",1465670,,
"20600","GERD - Total (in '000 local currency)","GRC","Greece","2014","2014",1488740,,
"20600","GERD - Total (in '000 local currency)","GRC","Greece","2015","2015",1703820,,
"20600","GERD - Total (in '000 local currency)","GRC","Greece","2016","2016",1754180,,
"20600","GERD - Total (in '000 local currency)","GRC","Greece","2017","2017",2038430,,
"20600","GERD - Total (in '000 local currency)","GRC","Greece","2018","2018",2174670,,
"20600","GERD - Total (in '000 local currency)","HUN","Hungary","1996","1996",44889400,,
"20600","GERD - Total (in '000 local currency)","HUN","Hungary","1997","1997",61749300,,
"20600","GERD - Total (in '000 local currency)","HUN","Hungary","1998","1998",68620400,,
"20600","GERD - Total (in '000 local currency)","HUN","Hungary","1999","1999",78187900,,
"20600","GERD - Total (in '000 local currency)","HUN","Hungary","2000","2000",105387600,,
"20600","GERD - Total (in '000 local currency)","HUN","Hungary","2001","2001",140605200,,
"20600","GERD - Total (in '000 local currency)","HUN","Hungary","2002","2002",171470200,,
"20600","GERD - Total (in '000 local currency)","HUN","Hungary","2003","2003",175772900,,
"20600","GERD - Total (in '000 local currency)","HUN","Hungary","2004","2004",181525400,,
"20600","GERD - Total (in '000 local currency)","HUN","Hungary","2005","2005",207764000,,
"20600","GERD - Total (in '000 local currency)","HUN","Hungary","2006","2006",237953200,,
"20600","GERD - Total (in '000 local currency)","HUN","Hungary","2007","2007",245692800,,
"20600","GERD - Total (in '000 local currency)","HUN","Hungary","2008","2008",266388000,,
"20600","GERD - Total (in '000 local currency)","HUN","Hungary","2009","2009",299158700,,
"20600","GERD - Total (in '000 local currency)","HUN","Hungary","2010","2010",310210500,,
"20600","GERD - Total (in '000 local currency)","HUN","Hungary","2011","2011",336537300,,
"20600","GERD - Total (in '000 local currency)","HUN","Hungary","2012","2012",363683400,,
"20600","GERD - Total (in '000 local currency)","HUN","Hungary","2013","2013",420100300,,
"20600","GERD - Total (in '000 local currency)","HUN","Hungary","2014","2014",441092100,,
"20600","GERD - Total (in '000 local currency)","HUN","Hungary","2015","2015",468389700,,
"20600","GERD - Total (in '000 local currency)","HUN","Hungary","2016","2016",427191800,,
"20600","GERD - Total (in '000 local currency)","HUN","Hungary","2017","2017",517258000,,
"20600","GERD - Total (in '000 local currency)","HUN","Hungary","2018","2018",654163100,,
"20600","GERD - Total (in '000 local currency)","ISL","Iceland","1997","1997",9650698,,
"20600","GERD - Total (in '000 local currency)","ISL","Iceland","1998","1998",11772451,,
"20600","GERD - Total (in '000 local currency)","ISL","Iceland","1999","1999",14521644,,
"20600","GERD - Total (in '000 local currency)","ISL","Iceland","2000","2000",18250000,,
"20600","GERD - Total (in '000 local currency)","ISL","Iceland","2001","2001",22783797,,
"20600","GERD - Total (in '000 local currency)","ISL","Iceland","2002","2002",24097031,,
"20600","GERD - Total (in '000 local currency)","ISL","Iceland","2003","2003",23720000,,
"20600","GERD - Total (in '000 local currency)","ISL","Iceland","2005","2005",28443011,,
"20600","GERD - Total (in '000 local currency)","ISL","Iceland","2006","2006",34965473,,
"20600","GERD - Total (in '000 local currency)","ISL","Iceland","2007","2007",35130575,,
"20600","GERD - Total (in '000 local currency)","ISL","Iceland","2008","2008",39170591,,
"20600","GERD - Total (in '000 local currency)","ISL","Iceland","2009","2009",42239542,,
"20600","GERD - Total (in '000 local currency)","ISL","Iceland","2011","2011",42424900,,
"20600","GERD - Total (in '000 local currency)","ISL","Iceland","2013","2013",33342300,,
"20600","GERD - Total (in '000 local currency)","ISL","Iceland","2014","2014",40395266,,
"20600","GERD - Total (in '000 local currency)","ISL","Iceland","2015","2015",50408600,,
"20600","GERD - Total (in '000 local currency)","ISL","Iceland","2016","2016",52999400,,
"20600","GERD - Total (in '000 local currency)","ISL","Iceland","2017","2017",55061500,,
"20600","GERD - Total (in '000 local currency)","ISL","Iceland","2018","2018",56900200,,
"20600","GERD - Total (in '000 local currency)","IRL","Ireland","1996","1996",764815,,
"20600","GERD - Total (in '000 local currency)","IRL","Ireland","1997","1997",862448,,
"20600","GERD - Total (in '000 local currency)","IRL","Ireland","1998","1998",971611,,
"20600","GERD - Total (in '000 local currency)","IRL","Ireland","1999","1999",1068400,,
"20600","GERD - Total (in '000 local currency)","IRL","Ireland","2000","2000",1175900,,
"20600","GERD - Total (in '000 local currency)","IRL","Ireland","2001","2001",1284300,,
"20600","GERD - Total (in '000 local currency)","IRL","Ireland","2002","2002",1435800,,
"20600","GERD - Total (in '000 local currency)","IRL","Ireland","2003","2003",1636800,,
"20600","GERD - Total (in '000 local currency)","IRL","Ireland","2004","2004",1840400,,
"20600","GERD - Total (in '000 local currency)","IRL","Ireland","2005","2005",2030000,,
"20600","GERD - Total (in '000 local currency)","IRL","Ireland","2006","2006",2216900,,
"20600","GERD - Total (in '000 local currency)","IRL","Ireland","2007","2007",2432000,,
"20600","GERD - Total (in '000 local currency)","IRL","Ireland","2008","2008",2605600,,
"20600","GERD - Total (in '000 local currency)","IRL","Ireland","2009","2009",2735556,,
"20600","GERD - Total (in '000 local currency)","IRL","Ireland","2010","2010",2669505,,
"20600","GERD - Total (in '000 local currency)","IRL","Ireland","2011","2011",2665900,,
"20600","GERD - Total (in '000 local currency)","IRL","Ireland","2012","2012",2733892,,
"20600","GERD - Total (in '000 local currency)","IRL","Ireland","2013","2013",2813140,,
"20600","GERD - Total (in '000 local currency)","IRL","Ireland","2014","2014",2967212,,
"20600","GERD - Total (in '000 local currency)","IRL","Ireland","2015","2015",3108450,,
"20600","GERD - Total (in '000 local currency)","IRL","Ireland","2016","2016",3175760,,
"20600","GERD - Total (in '000 local currency)","IRL","Ireland","2018","2018",3715000,,
"20600","GERD - Total (in '000 local currency)","ITA","Italy","1996","1996",9892945,,
"20600","GERD - Total (in '000 local currency)","ITA","Italy","1997","1997",10789100,,
"20600","GERD - Total (in '000 local currency)","ITA","Italy","1998","1998",11444000,,
"20600","GERD - Total (in '000 local currency)","ITA","Italy","1999","1999",11524100,,
"20600","GERD - Total (in '000 local currency)","ITA","Italy","2000","2000",12460300,,
"20600","GERD - Total (in '000 local currency)","ITA","Italy","2001","2001",13572200,,
"20600","GERD - Total (in '000 local currency)","ITA","Italy","2002","2002",14599500,,
"20600","GERD - Total (in '000 local currency)","ITA","Italy","2003","2003",14769000,,
"20600","GERD - Total (in '000 local currency)","ITA","Italy","2004","2004",15253000,,
"20600","GERD - Total (in '000 local currency)","ITA","Italy","2005","2005",15598800,,
"20600","GERD - Total (in '000 local currency)","ITA","Italy","2006","2006",16831300,,
"20600","GERD - Total (in '000 local currency)","ITA","Italy","2007","2007",18231400,,
"20600","GERD - Total (in '000 local currency)","ITA","Italy","2008","2008",18992800,,
"20600","GERD - Total (in '000 local currency)","ITA","Italy","2009","2009",19209000,,
"20600","GERD - Total (in '000 local currency)","ITA","Italy","2010","2010",19624900,,
"20600","GERD - Total (in '000 local currency)","ITA","Italy","2011","2011",19810600,,
"20600","GERD - Total (in '000 local currency)","ITA","Italy","2012","2012",20502500,,
"20600","GERD - Total (in '000 local currency)","ITA","Italy","2013","2013",20983100,,
"20600","GERD - Total (in '000 local currency)","ITA","Italy","2014","2014",21781275,,
"20600","GERD - Total (in '000 local currency)","ITA","Italy","2015","2015",22157000,,
"20600","GERD - Total (in '000 local currency)","ITA","Italy","2016","2016",23171612,,
"20600","GERD - Total (in '000 local currency)","ITA","Italy","2017","2017",23793650,,
"20600","GERD - Total (in '000 local currency)","ITA","Italy","2018","2018",24581681,,
"20600","GERD - Total (in '000 local currency)","JPN","Japan","1996","1996",14155058000,,
"20600","GERD - Total (in '000 local currency)","JPN","Japan","1997","1997",14794030000,,
"20600","GERD - Total (in '000 local currency)","JPN","Japan","1998","1998",15169203000,,
"20600","GERD - Total (in '000 local currency)","JPN","Japan","1999","1999",15032660000,,
"20600","GERD - Total (in '000 local currency)","JPN","Japan","2000","2000",15304423000,,
"20600","GERD - Total (in '000 local currency)","JPN","Japan","2001","2001",15542822000,,
"20600","GERD - Total (in '000 local currency)","JPN","Japan","2002","2002",15551513000,,
"20600","GERD - Total (in '000 local currency)","JPN","Japan","2003","2003",15683403000,,
"20600","GERD - Total (in '000 local currency)","JPN","Japan","2004","2004",15782743000,,
"20600","GERD - Total (in '000 local currency)","JPN","Japan","2005","2005",16672632000,,
"20600","GERD - Total (in '000 local currency)","JPN","Japan","2006","2006",17273451000,,
"20600","GERD - Total (in '000 local currency)","JPN","Japan","2007","2007",17756238000,,
"20600","GERD - Total (in '000 local currency)","JPN","Japan","2008","2008",17377220000,,
"20600","GERD - Total (in '000 local currency)","JPN","Japan","2009","2009",15817728000,,
"20600","GERD - Total (in '000 local currency)","JPN","Japan","2010","2010",15696479000,,
"20600","GERD - Total (in '000 local currency)","JPN","Japan","2011","2011",15945058000,,
"20600","GERD - Total (in '000 local currency)","JPN","Japan","2012","2012",15883592000,,
"20600","GERD - Total (in '000 local currency)","JPN","Japan","2013","2013",16680069000,,
"20600","GERD - Total (in '000 local currency)","JPN","Japan","2014","2014",17472907000,,
"20600","GERD - Total (in '000 local currency)","JPN","Japan","2015","2015",17436052000,,
"20600","GERD - Total (in '000 local currency)","JPN","Japan","2016","2016",16911538000,,
"20600","GERD - Total (in '000 local currency)","JPN","Japan","2017","2017",17512261000,,
"20600","GERD - Total (in '000 local currency)","JPN","Japan","2018","2018",17919014000,,
"20600","GERD - Total (in '000 local currency)","KOR","Republic of Korea","1996","1996",10878050000,,
"20600","GERD - Total (in '000 local currency)","KOR","Republic of Korea","1997","1997",12185807000,,
"20600","GERD - Total (in '000 local currency)","KOR","Republic of Korea","1998","1998",11336617000,,
"20600","GERD - Total (in '000 local currency)","KOR","Republic of Korea","1999","1999",11921752000,,
"20600","GERD - Total (in '000 local currency)","KOR","Republic of Korea","2000","2000",13848501000,,
"20600","GERD - Total (in '000 local currency)","KOR","Republic of Korea","2001","2001",16110521000,,
"20600","GERD - Total (in '000 local currency)","KOR","Republic of Korea","2002","2002",17325081000,,
"20600","GERD - Total (in '000 local currency)","KOR","Republic of Korea","2003","2003",19068681000,,
"20600","GERD - Total (in '000 local currency)","KOR","Republic of Korea","2004","2004",22185343337,,
"20600","GERD - Total (in '000 local currency)","KOR","Republic of Korea","2005","2005",24155413600,,
"20600","GERD - Total (in '000 local currency)","KOR","Republic of Korea","2006","2006",27345704100,,
"20600","GERD - Total (in '000 local currency)","KOR","Republic of Korea","2007","2007",31301377260,,
"20600","GERD - Total (in '000 local currency)","KOR","Republic of Korea","2008","2008",34498053840,,
"20600","GERD - Total (in '000 local currency)","KOR","Republic of Korea","2009","2009",37928502240,,
"20600","GERD - Total (in '000 local currency)","KOR","Republic of Korea","2010","2010",43854834283,,
"20600","GERD - Total (in '000 local currency)","KOR","Republic of Korea","2011","2011",49890418950,,
"20600","GERD - Total (in '000 local currency)","KOR","Republic of Korea","2012","2012",55450115649,,
"20600","GERD - Total (in '000 local currency)","KOR","Republic of Korea","2013","2013",59300949330,,
