Report generated on: 12-20-2020 22:34:45
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"","total energy production (quad Btu)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.44-1-WORL-QBTU.A","    World","296.0026466816755","291.06205266492725","289.9303630611776","292.852653526017","308.6000494730875","316.1002716419964","326.369111067251","334.06652355349394","346.8423788969708","353.61196644628853","357.2396795768485","354.47648635948866","353.3573394523773","354.1588607996284","360.1799377116897","368.1046545369575","377.2998144609995","381.8563585768047","386.39361567647296","386.31024164167474","399.4948539185964","405.2861682169249","407.058900554904","422.71212267947715","444.9370523661113","460.842230560927","472.7680279733625","481.20337874763675","493.98959875584126","491.991685512318","518.9548959705913","534.1222830757029","547.3038106322081","554.4018555353002","564.031607662742","568.3112600290352","563.6988212533474","578.9266352842485","597.7670983803212"
"INTL.44-1-AFG-QBTU.A","        Afghanistan","0.07256115380748066","0.09272365274844369","0.09506786415846949","0.09971280615846949","0.09982734303917455","0.12096783009943252","0.12054976892110061","0.114835081155632","0.1213943959239381","0.1192256243355804","0.11883270034801532","0.020505265929613076","0.016142546028099742","0.016076217734531384","0.01602405594096303","0.01173932564739467","0.012296322030705074","0.011832375737136715","0.011602889737136716","0.011591797443568358","0.011706709443568358","0.007509174600988823","0.007910393953594155","0.007810977272656924","0.007071474979088566","0.007292052505967328","0.007750630272656924","0.01368175746235599","0.014057641097205524","0.01858013914377475","0.02692579367150454","0.04104421211242948","0.037492262916033615","0.040816563280627896","0.04478950651933605","0.04205799729038833","0.04950511782484147","0.05950054255404184","0.06317585556177092"
"INTL.44-1-ALB-QBTU.A","        Albania","0.15556161063364599","0.15869137503187516","0.20594414134508068","0.2346931640454507","0.19102506227402413","0.19172993827692245","0.19659552252877113","0.20238806446252838","0.18641741777005813","0.19491628961153654","0.127118513909017","0.09543406071683144","0.0655185036507454","0.06283840594697494","0.06650709326941415","0.0677844091736095","0.08269987229832255","0.07303457152971403","0.06574110056542558","0.06751718849892084","0.06083183808831241","0.05136107356866748","0.051256018118918355","0.06891454270953923","0.0712884614857991","0.07081958154050344","0.06845249684266899","0.042837193508182055","0.05252693602759332","0.06418918368747224","0.09849116932673144","0.07585689950134678","0.0840378737211778","0.10563648550534094","0.09296194121961915","0.10225470403895913","0.12535621607056832","0.08000844944033325","0.11459209640579684"
"INTL.44-1-DZA-QBTU.A","        Algeria","2.8030173542105374","3.0375368595217433","3.224933776690047","3.606400478560422","3.8591760033483915","3.907465537569512","3.9683247789434253","4.21808633368004","4.297753784176673","4.502301610062132","4.753325721703916","4.916138909177983","5.031036030666051","4.88422507831684","4.735645919005672","5.048140212281036","5.2483061400986335","5.592121473752019","5.74869236165099","6.019446853227404","6.190571221848181","6.170157236109468","6.390558968392507","6.789041156494967","6.901127019254425","7.479709411519275","7.418333560428764","7.129614220676974","7.1784030068807825","6.944768814359772","6.927837879172395","6.828492246382395","6.999409831111563","6.5104186447871735","6.561760333289481","6.696192522564449","6.910709728136037","6.780409424908827","6.688078779874529"
"INTL.44-1-ASM-QBTU.A","        American Samoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.44-1-AGO-QBTU.A","        Angola","0.3350980400000004","0.2912936899999984","0.2762624000000001","0.39540765606377026","0.4625504515290029","0.5112693690127484","0.6214329952561967","0.7894289363044191","0.9898173240417826","0.9905512330047885","1.0377937136328683","1.0920147537781093","1.1523487881209282","1.1125462117809963","1.1694006027314678","1.4045766678718135","1.542051563717454","1.5483508454355233","1.5958273166300176","1.6143637475285668","1.6224072985306923","1.6092189114959323","1.9412206717226628","1.9563998762784367","2.2930229327365104","2.6976423432455054","3.0589312128379476","3.7585340612175653","4.231843792083161","4.062948516050613","4.138002844677636","3.816194125892138","3.8908266090064454","3.9322041122866898","3.8025284458192865","3.94994691688781","3.935297239920158","3.7929086937410985","3.792675339443722"
"INTL.44-1-ATA-QBTU.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000019998","0.000019838","0.000019768","0.000019708","0.00003904","0.000039024","0.000038864","0.000004758","0.0000047705","0.000004755","0.000009319","0.000009232","0","0"
"INTL.44-1-ATG-QBTU.A","        Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000019512","0.000004858","0.000004758","0.0000057246","0.000005706","0.000049903245","0.000050886784","0.000056586246","0.000119016592"
"INTL.44-1-ARG-QBTU.A","        Argentina","1.5979456067355864","1.6712879181238998","1.729804384407243","1.7854768757474178","1.8529603377189978","1.8348289325493121","1.8438319124198825","1.8343318054522373","1.9055890046186763","1.985573304970737","2.0149088348211386","2.1042907311767842","2.27999801261518","2.477087335638652","2.6861039502846764","2.9093855787778664","3.02647547387007","3.281808481493545","3.3756796693540188","3.406470902111094","3.4909523982635053","3.659134916729175","3.5737869960930944","3.7411819518393803","3.8515923939640953","3.8340858945515968","3.89043026849669","3.727029411711619","3.6650881667908326","3.5464828048364585","3.47945172745716","3.314246583001919","3.207302890670327","3.1268384220259566","3.1187571582606197","3.1379095484351422","3.2257025563775303","3.210629184257532","3.3170443810711427"
