Report generated on: 12-20-2020 22:43:33
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"","total energy production from nuclear (quad Btu)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Cabo Verde","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Cambodia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Cameroon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4417-1-CAN-QBTU.A","        Canada","0.41592096","0.438166008","0.419259456","0.53564358","0.569732585","0.65944725","0.77654115","0.8418564","0.9029328","0.87030405","0.794759676","0.926079474","0.87574344","1.024772832","1.165380192","1.054447488","0.999735376","0.881263383","0.76350892","0.786965952","0.779560248","0.821255376","0.808766","0.801968984","0.967904096","0.978759032","1.043510004","0.995610777","0.996807411","0.961021281","0.965220789","0.997021902","1.00700142","1.09645358454","1.114734516","1.081367559","1.08151669833","1.0756484784","1.074583359"
"none","        Cayman Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Central African Republic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Chad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Chile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4417-1-CHN-QBTU.A","        China","","","","","","","","","","","","","0.0051695","0.02521129","0.1371465","0.1250999","0.1376301","0.11469175","0.1360133","0.142369345","0.160699815","0.167712685","0.25430243","0.4207761","0.484062816","0.508151872","0.52291833","0.598386209","0.659194575","0.663109883","0.715793694","0.8339469","0.935599896","1.12193514","1.256527392","1.642487178","2.01983409","2.37918534","2.786537888"
"none","        Colombia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Comoros","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Congo-Brazzaville","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Congo-Kinshasa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Cook Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Costa Rica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4417-1-HRV-QBTU.A","        Croatia","--","--","--","--","--","--","--","--","--","--","--","--","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Cuba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Cyprus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4417-1-CZE-QBTU.A","        Czech Republic","--","--","--","--","--","--","--","--","--","--","--","--","--","0.145163802","0.149156472","0.132142887","0.138841584","0.14204877","0.142378587","0.144311997","0.146359096","0.158840032","0.201347111","0.277990447","0.282876799","0.263037305","0.277108189","0.278646485","0.282978598","0.290296815","0.299074151","0.301958456","0.323528533","0.3280687684","0.323913107","0.286586807","0.25709903","0.30296151548","0.319592305"
"none","        Côte d’Ivoire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Denmark","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Djibouti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Dominica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Dominican Republic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Ecuador","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Egypt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        El Salvador","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Equatorial Guinea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4417-1-ERI-QBTU.A","        Eritrea","--","--","--","--","--","--","--","--","--","--","--","--","--","--","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4417-1-EST-QBTU.A","        Estonia","--","--","--","--","--","--","--","--","--","--","--","--","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Eswatini","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Ethiopia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Falkland Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Faroe Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Fiji","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4417-1-FIN-QBTU.A","        Finland","0.0693505","0.143399775","0.16403649","0.173271705","0.184486635","0.1863627","0.18654927","0.19210491","0.191203155","0.18667365","0.189213075","0.19050273","0.188056566","0.194583096","0.189690768","0.18634704","0.188868416","0.194339904","0.21191808","0.2227896","0.21799184","0.220839872","0.21620544","0.220431552","0.22028864","0.228210048","0.224565792","0.22973104","0.2250864","0.230711008","0.223442912","0.227291328","0.225219104","0.231701184","0.231170368","0.227903808","0.22743424","0.220227392","0.223442912"
"INTL.4417-1-CSK-QBTU.A","        Former Czechoslovakia","0.055431","0.0628218","0.0714444","0.0763654","0.0899141","0.1460606","0.2197046","0.256943916","0.269389752","0.284253566","0.2872116","0.276435028","0.285579158","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.4417-1-SCG-QBTU.A","        Former Serbia and Montenegro","--","--","--","--","--","--","--","--","--","--","--","--","","","","","","","","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.4417-1-SUN-QBTU.A","        Former U.S.S.R.","0.832642575","0.7345254","1.123403202","1.251644482","1.624821521","1.94947561","1.744829689","2.031128048","2.328970698","2.433834556","2.307570678","2.310946155","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.4417-1-YUG-QBTU.A","        Former Yugoslavia","","0.003115928","0.027144964","0.04196637","0.04737271","0.045920136","0.045920136","0.048180264","0.044320581","0.050643969","0.049938843","0.041855985","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.4417-1-FRA-QBTU.A","        France","0.719481856","1.020830445","1.055723949","1.402988196","1.87400048","2.145921912","2.434148838","2.532781665","2.644776207","2.933633115","3.106999701","3.275213065","3.343517677","3.636302484","3.54122361","3.71092135","3.906468077","3.888212441","3.81123094","3.871537284","4.076954148","4.134986066","4.289048714","4.331378729","4.401794373","4.45710766","4.44304934","4.342873473","4.3394726","4.049550761","4.257922938","4.397293947","4.230428754","4.1916171","4.340104383","4.350705426","4.012541499","3.964707018","4.0825956"
"none","        French Guiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        French Polynesia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Gabon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Gambia, The","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
