"Data Source","World Development Indicators",

"Last Updated Date","2020-10-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","5772.3218481922","6924.55762606246","8559.98143464289","10108.8345987213","10975.4753433421","12046.3334079061","12516.5661959791","13217.3950280326","14376.0176691061","14473.8615927597","14558.7969248774","15634.6254154506","16895.1960757503","16912.1399515696","18248.9363864554","17924.2653026117","16895.476844137","18138.610764099","19499.8313862229","16212.3311624331","20578.9534386698","19435.8253765146","23244.1542079649","21303.9638044699","19759.0320531593","19981.5433372712","21057.6721165113","21905.6508112196","22913.2712161745","23917.7967109349","24086.2794024895","24399.6932501472","","","",
"Afghanistan","AFG","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","149.688797455121","152.659950691748","129.965207545012","137.174036841536","165.921780918543","177.139230234557","187.174888137332","212.381482158284","234.485771327573","259.870261642304","255.795940857649","248.93531255989","","","","","","","","","","","","","","","","","","","","","","","","","","","","387.267198030753","479.112517902735","519.423260833671","559.830458342982","553.542173792198","532.28021799778","504.603289036582","478.192113579823","488.07598606307","458.370737755325","","",
"Angola","AGO","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","426.503681870309","440.842093274438","364.931602168597","329.994569993363","534.915828418058","447.585119679198","565.005898406201","8.40695089166474","30.2955933386475","-26.3244536727604","105.351413761857","95.0820344732975","150.647882735181","172.869650898122","55.551697325793","11.1282785920104","98.1192383434439","342.463753285783","437.013528467028","440.968438960922","564.163478324348","857.123229878375","819.674137020376","367.148834911629","735.005217682115","1108.0734946194","1500.17472480036","1773.97053262774","2043.22467080456","2397.76138327631","2078.3009169658","1694.11782828465","1756.09804061044","1028.56471859024","","",
"Albania","ALB","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","474.191849811488","471.856519298018","561.863035177794","527.18399099886","512.344728250426","538.29544678845","484.15905528464","256.72576451447","142.736678454349","323.398063303667","514.931174452184","674.366314165872","919.860301674452","647.825829095255","753.213109356592","952.773365770476","1040.51727898331","1191.77515211037","1305.44751115851","1688.84197120141","2145.12851367188","2400.21126424209","2680.16465921814","3128.04194383693","3720.05894663402","3407.81682543669","3407.20907052915","3666.62981805397","3455.04248179848","3673.64151978272","3774.66396693331","3234.69730477441","3415.93460393608","3672.83679440938","4201.07708408373","","",
"Andorra","AND","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","1347.61337624259","1475.92099505714","1493.33382836379","1391.38042532291","1357.31430534758","1313.02805731224","1274.50657301358","1281.78309968179","1250.41059063978","1236.54063653571","1650.42169276487","1597.06271272177","1722.0968167408","1689.7696716775","1657.62512776231","1744.16928835845","1859.21808258085","1942.61943248256","1898.49004624639","1963.63292662174","2086.86608659597","2068.35071302716","2063.15283164364","2223.51591882383","2515.68847964022","2910.38882866233","3393.36662461549","3947.78843092819","4781.85145000161","4221.39718796547","4794.99584514837","5389.10016054814","5892.76320805579","6013.76102168542","6040.80827075127","5404.02712554545","5225.27919428343","5152.8541664647","5416.26763710809","","",
"United Arab Emirates","ARE","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30657.8053280516","29126.9971923112","28209.1303217535","29588.9153355651","32194.4795606584","33302.2289522597","35909.784275776","36674.8642813214","37371.6263008208","27381.5684349787","30503.6993743687","34542.8073077394","36045.7025121967","37912.0898983221","39307.6438183743","35639.4411317232","35478.9462355529","37696.0203436911","39977.6915584674","","",
"Argentina","ARG","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","1207.06174783513","1317.62104361817","1314.31549440752","1995.45893133377","2683.41595908086","1921.98149640934","1814.51108032547","1975.96697123395","1979.82532172441","2264.9089514675","2451.05945005368","2440.06489144752","2518.29382199888","3075.14476364526","2300.83398781229","2531.82996372747","3225.15403488353","3151.33887610046","3538.36793819425","1958.12784662977","3757.96790329315","5123.46790486674","6181.5382773969","6328.54830863455","6746.23705729476","6572.91381541809","6859.5872768779","7259.55421445307","7304.57506574555","6734.47894206621","6606.31520600317","6159.20956682354","2047.20765726731","2748.63756457894","3248.67430125606","3850.90954140553","4932.31086164302","6148.00194424187","7634.12727915051","6936.95817118809","8803.45461792655","10956.7621688311","11131.9804404501","11123.5274609967","10433.9931760856","11821.449966941","10892.4992690698","12344.2841325065","9631.76369093399","","",
"Armenia","ARM","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","403.014928498938","441.12021372783","470.335171526101","535.887384705385","522.685003599162","541.802341139579","606.18145083278","680.581342792093","815.048241717885","1061.81675390009","1475.54275941369","1960.05079310135","2887.4073730938","3742.98923572423","2724.03045962216","2917.89780496416","3138.8685238342","3278.37914975329","3509.29072037805","3581.15337055826","3175.9669009362","3084.89532674006","3400.46427365024","3533.88353144239","","",
"American Samoa","ASM","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
