year,country,cons_btu,coal_cons_btu,gas_cons_btu,oil_cons_btu,nuclear_cons_btu,renewables_cons_btu,prod_btu,coal_prod_btu,gas_prod_btu,oil_prod_btu,nuclear_prod_btu,renewables_prod_btu,co2,co2_growth_prct,co2_growth_abs,consumption_co2,co2_per_capita,consumption_co2_per_capita,share_global_co2,cumulative_co2,share_global_cumulative_co2,co2_per_gdp,consumption_co2_per_gdp,co2_per_unit_energy,population,GDP,GDP growth,GDP per capita,GDP per capita growth,income per capita,income per capita growth,built_reactors,shutdown_reactors,operating_reactors,nuclear_warheads,accident_cost_MioUSD2013,accident_deaths,research_%GDP,representative_government,fundamental_rights,checks_on_gouvernment,impartial_administration,civil_society_participation
1991,ABW,0.008531306257,0.0,0.0,0.008531306257,,0.0,0.0,0.0,0.0,0.0,,0.0,0.531,9.023,0.044000000000000004,,8.174,,0.002,21.771,0.004,,,,65000.0,872138715.083799,7.9628724963360895,13496.003142641799,3.83127360302673,12046.3334079061,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1992,ABW,0.0093710136018,0.0,0.0,0.0093710136018,,0.0,0.0,0.0,0.0,0.0,,0.0,0.539,1.379,0.006999999999999999,,7.921,,0.002,22.309,0.004,,,,68000.0,958463184.357542,5.88235294117648,14046.5037643078,0.275949465299433,12516.5661959791,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1993,ABW,0.009521171,0.0,0.0,0.009521171,,0.0,0.0,0.0,0.0,0.0,,0.0,0.649,20.408,0.11,,9.007,,0.003,22.958000000000002,0.004,,,,72000.0,1082979720.6703901,7.307692307692309,14936.8272187795,0.989467955083654,13217.3950280326,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1994,ABW,0.01044658689,0.0,0.0,0.01044658689,,0.0,0.0,0.0,0.0,0.0,,0.0,0.66,1.695,0.011000000000000001,,8.565,,0.003,23.616999999999997,0.004,,,,77000.0,1245688268.15642,8.203902827558741,16241.0465209443,2.2844298645282595,14376.0176691061,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1995,ABW,0.01182343989,0.0,0.0,0.01182343989,,0.0,0.0,0.0,0.0,0.0,,0.0,0.7070000000000001,7.222,0.048,,8.839,,0.003,24.325,0.004,,,,80000.0,1320474860.3352,2.54714390872286,16439.3563609282,-2.07950378717389,14473.8615927597,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1996,ABW,0.007792577736,0.0,0.0,0.007792577736,,0.0,0.0,0.0,0.0,0.0,,0.0,0.725,2.591,0.018000000000000002,,8.741,,0.003,25.05,0.004,,,,83000.0,1379960893.85475,1.18578817164948,16586.068435754198,-2.3119321021686,14558.7969248774,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1997,ABW,0.01260234989,0.0,0.0,0.01260234989,,0.0,0.0,0.0,0.0,0.0,,0.0,0.758,4.545,0.033,,8.923,,0.003,25.808000000000003,0.004,,,,85000.0,1531944134.0782099,7.04687397800629,17927.749635208602,4.22698289042988,15634.6254154506,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1998,ABW,0.01260234989,0.0,0.0,0.01260234989,,0.0,0.0,0.0,0.0,0.0,,0.0,0.8059999999999999,6.28,0.048,,9.265,,0.003,26.615,0.004,,,,87000.0,1665100558.65922,1.9919858524748701,19078.3431907515,-0.14187949769321098,16895.1960757503,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1999,ABW,0.012602367,0.0,0.0,0.012602367,,0.0,0.0,0.0,0.0,0.0,,0.0,0.81,0.455,0.004,,9.097999999999999,,0.003,27.424,0.004,,,,89000.0,1722798882.68156,1.2380421057706599,19356.2033894901,-0.727457998254621,16912.1399515696,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2000,ABW,0.015072690950000004,0.0,0.0,0.015072690950000004,,0.0,0.0,0.0,0.0,0.0,,0.0,2.378,193.665,1.568,,26.131,,0.01,29.802,0.004,,,,91000.0,1873452513.96648,7.616588193964669,20620.7006259175,5.42760758812395,18248.9363864554,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2001,ABW,0.015595911780000013,0.0,0.0,0.015595911780000013,,0.0,0.0,0.0,0.0,0.0,,0.0,2.407,1.2329999999999999,0.028999999999999998,,25.884,,0.01,32.209,0.004,,,,93000.0,1920111731.84358,-2.97125672435799,20669.0319688645,-5.1071883913334695,17924.2653026117,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2002,ABW,0.01612162000000001,0.0,0.0,0.01612162000000001,,0.0,0.0,0.0,0.0,0.0,,0.0,2.437,1.218,0.028999999999999998,,25.648000000000003,,0.01,34.646,0.004,,,,95000.0,1941340782.1229103,-3.2736464106481002,20436.8871286309,-5.40587843456699,16895.476844137,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2003,ABW,0.01795297824999998,0.0,0.0,0.01795297824999998,,0.0,0.0,0.0,0.0,0.0,,0.0,2.5610000000000004,5.113,0.125,,26.403000000000002,,0.01,37.207,0.005,,,,97000.0,2021229050.27933,1.9755472615863099,20833.7616116694,-0.152950663568177,18138.610764098998,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004,ABW,0.01872199437,0.0,0.0,0.01872199437,,0.0,0.0,0.0,0.0,0.0,,0.0,2.616,2.146,0.055,,26.425,,0.009000000000000001,39.823,0.005,,,,99000.0,2228491620.11173,7.91156346581525,22569.9749851801,6.031742434578719,19499.8313862229,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2005,ABW,0.020217967989999988,0.0,0.0,0.020217967989999988,,0.0,0.0,0.0,0.0,0.0,,0.0,2.719,3.9219999999999997,0.10300000000000001,,27.186999999999998,,0.009000000000000001,42.542,0.005,,,,100000.0,2330726256.9832397,1.21434934877203,23300.0395575696,-0.094958446384581,16212.3311624331,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2006,ABW,0.020179450130000002,0.0,0.0,0.020179450130000002,,0.0,0.0,0.0,0.0,0.0,,0.0,2.715,-0.135,-0.004,,26.881,,0.009000000000000001,45.257,0.005,,,,101000.0,2424581005.58659,1.0506075279637501,24045.272483354704,0.245882555782202,20578.9534386698,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2007,ABW,0.02079446129,0.0,0.0,0.02079446129,,0.0,0.0,0.0,0.0,0.0,,0.0,2.821,3.9139999999999997,0.106,,27.933000000000003,,0.009000000000000001,48.078,0.005,,,,101000.0,2615083798.88268,1.8002259714881204,25835.132667628397,1.41000953951742,19435.8253765146,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2008,ABW,0.019534150659900003,0.0,0.0,0.019534150659900003,,0.0,0.0,0.0,0.0,0.0,,0.0,2.656,-5.843999999999999,-0.165,,26.301,,0.008,50.735,0.005,,,,101000.0,2745251396.64804,-0.0907080463222769,27084.7036903653,-0.22476420080145898,23244.1542079649,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009,ABW,0.01947491775039998,0.0,0.0,0.01918211775039998,,0.0002928,0.0002928,0.0,0.0,0.0,,0.0002928,2.627,-1.103,-0.028999999999999998,,26.011,,0.008,53.361999999999995,0.005,,,,101000.0,2498882681.56425,-10.5197485358487,24630.4537141023,-10.6052996116165,21303.9638044699,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2010,ABW,0.018281777737900004,0.0,0.0,0.017246666137900005,,0.0010351116,0.0010351116,0.0,0.0,0.0,,0.0010351116,2.506,-4.603,-0.121,,24.57,,0.008,55.868,0.005,,,,102000.0,2390502793.2960896,-3.6850293872329902,23512.602595639702,-3.88775985287278,19759.0320531593,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2011,ABW,0.01454421220999999,0.0,0.0,0.01344144620999999,,0.001102766,0.001102766,0.0,0.0,0.0,,0.001102766,2.499,-0.292,-0.006999999999999999,,24.499000000000002,,0.006999999999999999,58.367,0.005,,,,102000.0,2549720670.3910604,3.44605475040258,24985.9932813737,3.0638823708786203,19981.5433372712,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
